Question 	Answer 	Source
Welchen Notendurchschnitt brauche ich? Gibt es einen Numerus Clausus (NC)?	Die Zulassung zum Studiengang Services Computing ist durch keinen Notendurchschnitt beschränkt. Sie können sich mit Ihrem Notendurchschnitt eines 180 ECTS umfassenden Abschlusszeugnisses eines facheinschlägigen Studiengangs bewerben.	
wie ist der nc?	Die Zulassung zum Studiengang Services Computing ist durch keinen Notendurchschnitt beschränkt. Sie können sich mit Ihrem Notendurchschnitt eines 180 ECTS umfassenden Abschlusszeugnisses eines facheinschlägigen Studiengangs bewerben.	
Wie schnell erhalte ich über eine Zulassung Bescheid?	Die Frist für Bewerbungen endet am 15.07. für das Wintersemester und am 15.01. für das Sommersemester. Der Studiendekan ist Teilnehmer der Auswahlkommission. Er kontaktiert Sie via E-Mail und gibt Ihnen Auskunft über den Stand der Zulassungsprüfung. Erfüllen Sie die formalen Zulassungsbedingungen, dann empfiehlt die Auswahlkommission Sie zur Zulassung. Sie erhalten dann sofort Nachricht via E-Mail vom Studiendekan über die erfolgte Empfehlung.  \nFür gewöhnlich ist dieser Prozess **nach spätestens einer Woche** abgeschlossen. Sie erhalten also innerhalb einer Woche ab obiger Frist via E-Mail Nachricht vom Studiendekan.   \nDer Zustellung der Zulassungsbescheide durch Hochschule kann sich durch den Postweg darüberhinaus etwas verzögern.	
Ich habe einen Abschluss in XYZ. Kann ich mich damit in Services Computing bewerben?	Zugangsvoraussetzung ist ein qualifizierter Studienabschluss in einem facheinschlägigen Studiengang mit mindestens 180 Leistungspunkten nach ECTS. Als facheinschlägiges Studium wird angesehen:  \nStudiengänge der Wirtschaftsinformatik   \nInformatik-Studiengänge   \nTechnische, mathematische bzw. ingenieurwissenschaftliche Studiengänge mit Informatikanteilen von mindestens 15 ECTS. Über die zur Informatik zuzurechnenden Studienanteile entscheidet die Auswahlkommission, welche die fachlich-inhaltlichen Kriterien durch Beschluss festlegt.  \nStudiengänge der Wirtschaftswissenschaften oder des Wirtschaftsingenieurwesens mit Informatikanteilen von mindestens 15 ECTS. Über die zur Informatik zuzurechnenden Studienanteile entscheidet die Auswahlkommission, welche die fachlich-inhaltlichen Kriterien durch Beschluss festlegt.  \nZu den oben genannten als äquivalent zuzuordnende Studiengänge. Über die Vergleichbarkeit der Abschlüsse entscheidet die Auswahlkommission, welche die fachlich-inhaltlichen Kriterien durch Beschluss festlegt.  \nAlle Details sind in der Auswahlsatzsatzung auf der Webseite des Studiengangs zu finden.	
Welche weiteren Voraussetzungen muss ich für eine Zulassung erfüllen?	Weiterhin gelten folgende Zugangsvoraussetzung   \nGute Beherrschung der deutschen Sprache.   \nGute Beherrschung der englischen Sprache (Niveau B2 nach dem Gemeinsamen Europäischen Referenzrahmen für Sprachen (GER))	
Welche Nachweise für Sprachkenntnisse muss ich anführen?	"Nachweise der englischen Sprachkenntnisse sind zu erbringen, wenn die Studienqualifikation ( = das 180 ECTS Studium aus Frage REF _Ref484616643 \r \h 1.3) nicht an einer englischsprachigen Einrichtung erworben wurde.   \nSie brauchen einen gesonderten Sprachnachweis wie TOEFL oder ähnliche Zertifikate nur, wenn Sie engl. Sprachkenntnisse nicht bereits durch das vorangegangenen Studium oder das Zeugnis der Hochschulzugangsberechtigung nachweisen können. Die Zulassungsordnung sagt über die Möglichkeiten der Nachweise:  \nmit mindestens der Note „ausreichend"" bewertetes Fach Englisch in der Hochschulzugangsberechtigung , oder  \nmit mindestens der Note „ausreichend"" bewertetes Fach Englisch in dem Zeugnis des Studiums, das Voraussetzung für die Zulassung ist, oder  \nmit mindestens der Note „ausreichend"" oder dem Prädikat „bestanden"" bewertetes und in Englisch gehaltenes Studienfach oder Modul , in dem Zeugnis des Studiums, das Voraussetzung für die Zulassung ist, oder  \nmit mindestens der Note „ausreichend"" oder dem Prädikat „bestanden"" bewerteten Studienleistung in einem in Englisch gehaltenen Studienfach oder Modul bescheinigt durch eine deutsche oder ausländische Hochschule, oder  \nWenn Sie also z.B. ein Abitur haben (= Zeugnis der Hochschulzugangsberechtigung) und dort Englisch mit bestanden aufgeführt ist, dann ist das als Nachweis ausreichend.  \nFalls Sie keinen der obigen Nachweise haben, dann wird ein Sprachnachweis durch einen Test verlangt:  \neinen englischen Sprachtest, insbesondere TOEFL iBT mit mind. 72 Punkten, oder IELTS mit mind.5,0 Punkten, oder ein Cambridge Zertifikat (First Certificate in English) oderZertifikate über erfolgreich absolvierte englische Sprachkurse auf der Niveaustufe B2 nach dem GER von deutschen und/oder ausländischen Hochschulen, wobei mindestens 120 Stunden Unterricht nachzuweisen sind, oder  \nein äquivalenter Sprachtest auf der Niveaustufe B2 nach dem GER  \nGegebenenfalls Nachweise der deutschen Sprachkenntnisse, wenn die Studienqualifikation nicht an einer deutschsprachigen Einrichtung erworben wurde. In diesem Fall ist ein DSH-Test („Deutsche Sprachprüfung für den Hochschulzugang"" in der Niveaustufe 2), ein TestDaF („Test Deutsch als Fremdsprache"" in der Niveaustufe TDN 3 in allen Teilprüfungen und in der Summe mind. 14), der „Prüfungsteil Deutsch"" der Feststellungsprüfung an Studienkollegs oder eine äquivalente Sprachprüfung als bestanden nachzuweisen.  \nAlle Details führt die Auswahlsatzung des Studiengangs auf unter: [http://www.hhz.de/master/services-computing/](http://www.hhz.de/master/services-computing/)"	
Zulassung habe ich. Wie geht es weiter mit der Immatrikulation (Einschreibung)?	Die Zulassungsbescheide wurde versendet und Sie sind nun bis zum im Bescheid angegebenen Datum aufgefordert, den Studienplatz anzunehmen und sich an der Hochschule Reutlingen für den Studiengang einzuschreiben. Der Vorgang ist im Zulassungsbescheid beschrieben.  \nHinweise:  \nAlle Unterlagen sind an die Zulassungsstelle der Hochschule Reutlingen zu schicken.  \nNachweise, z.B. Studienabschluss, Sprachkenntnisse etc. erfolgen durch Zeugnisse und/oder Zertifikate. Genaueres regelt die Auswahlsatzung des Studiengangs, hier: http://www.hhz.de/master/services-computing/   \nAlle Nachweise sind als **beglaubigte Kopien** abzugeben.   \nBei ausländischen Zeugnissen muss eine Zeugnisanerkennung beigelegt werden.  \nAntrag auf Einschreibung muss von Ihnen unterschrieben werden.   \n**Einscannen u. Ausdrucken** oder elektronische Übersendungen sind **nicht ausreichend**. Bitte beachten Sie die Liste der zu erbringenden Unterlagen von der Zulassungsstelle. Bei Fragen kontaktieren Sie direkt die Zulassungsstelle.  \nWird die Einschreibefrist versäumt, können Sie nicht immatrikuliert werden und können das Studium nicht beginnen.	
Wo bekomme ich eine Immatrikulationsbescheinigung?	Sobald Sie eingeschrieben sind, können Sie die Bescheinigung auch online im HIP der HS Reutlingen zum Ausdrucken runterladen.	
Hi	Hallo, wie kann ich dir weiterhelfen?	
Welchen Note brauche ich? Gibt es einen Numerus Clausus (NC)?	Die Zulassung zum Studiengang Services Computing ist durch keinen Notendurchschnitt beschränkt. Sie können sich mit Ihrem Notendurchschnitt eines 180 ECTS umfassenden Abschlusszeugnisses eines facheinschlägigen Studiengangs bewerben.	
welche note benötige ich zur zulassung?	Die Zulassung zum Studiengang Services Computing ist durch keinen Notendurchschnitt beschränkt. Sie können sich mit Ihrem Notendurchschnitt eines 180 ECTS umfassenden Abschlusszeugnisses eines facheinschlägigen Studiengangs bewerben.	
